rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,30,13,3,201053,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,38,13,1,192923,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,27,7,0,191136,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
4,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,22,2,159804,United States,New York,New York,Data Scientist,H2O.ai
5,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,12,26,7,113215,Taiwan,UNKOWN,Hsinchu,MLE,JCV
6,grandmaster,Giba,https://www.kaggle.com/titericz,61,47,31,112511,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
7,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,18,8,2,112207,Japan,Tokyo,Tokyo,Senior Data Scientist,H2O.ai
8,grandmaster,Ilu,https://www.kaggle.com/ilu000,16,7,3,107918,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
9,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,25,4,106585,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
10,grandmaster,tascj,https://www.kaggle.com/tascj0,10,8,3,100409,China,Zhejiang,Hangzhou, , 
11,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,17,19,8,98183,United States,California,San Diego,Data Scientist & Researcher,Nvidia
12,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,12,8,4,97421,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
13,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,13,3,1,92326,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
14,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,5,87834,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
15,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,83066,United States,Kansas,Dillon,Drinker,Riggins' Rigs
