rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,26,9,3,310201,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,34,10,1,227251,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,23,7,0,214298,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
4,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,22,19,2,191745,United States,New York,New York,Data Scientist,H2O.ai
5,grandmaster,Ilu,https://www.kaggle.com/ilu000,12,5,3,138374,Germany,North Rhine-Westphalia,Aachen,Software Engineer,Aachen
6,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,19,23,4,131016,Turkey,İstanbul,İstanbul,Machine Learning,NVIDIA
7,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,15,8,2,130234,Japan,Tokyo,Tokyo,Machine Learning Engineer,LINE corp.
8,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,58,42,122911,Greece,UNKOWN,Volos,Data Scientist,H2O ai
9,grandmaster,Giba,https://www.kaggle.com/titericz,58,47,30,109364,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
10,grandmaster,DungNB,https://www.kaggle.com/nguyenbadung,6,11,4,108510,Vietnam,Hanoi,Hanoi,Machine Learning Engineer,Vingroup Big Data
11,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,10,3,1,105889,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
12,grandmaster,Bo,https://www.kaggle.com/boliu0,15,8,4,104033,United States,New York,New York,Deep Learning,NVIDIA
13,grandmaster,CPMP,https://www.kaggle.com/cpmpml,21,21,4,102104,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
14,grandmaster,dott,https://www.kaggle.com/dott1718,13,5,2,100376,Austria,Vienna,Vienna,Senior Data Scientist,H2O.ai
15,grandmaster,Limerobot,https://www.kaggle.com/limerobot,11,4,1,99473,South Korea,Gyeonggi-do,Seongnam-si,Data Scientist,UPSTAGE AI
16,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,14,12,7,93346,United States,California,San Diego,Data Scientist & Researcher,Nvidia
17,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,9,17,28,90737,United States,Indiana,Greencastle,Data Scientist,Nvidia
18,master,Tom,https://www.kaggle.com/tikutiku,4,10,1,86175,Japan,Nagano,Ueda,Engineer,HIOKI E.E.Corporation
19,grandmaster,tito,https://www.kaggle.com/its7171,11,13,0,83361,Japan,Tokyo,Tokyo,Search Engineer,Universal Knowledge Inc.
20,grandmaster,Gary,https://www.kaggle.com/garybios,12,11,0,83000,China,Guangdong Province,Shenzhen,overfitting,Kaggle
21,grandmaster,SeungKee,https://www.kaggle.com/keetar,5,1,0,82671,South Korea,Seoul,Seoul,DL Engineer,Samsung Electronics
22,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,8,5,4,79939,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
23,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,4,14,4,73610,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi"
