rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,28,13,3,238607,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,37,13,1,211892,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,20,2,192752,United States,New York,New York,Data Scientist,H2O.ai
4,grandmaster,Psi,https://www.kaggle.com/philippsinger,25,7,0,167537,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
5,grandmaster,Giba,https://www.kaggle.com/titericz,60,47,31,138534,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
6,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,17,8,2,131214,Japan,Tokyo,Tokyo,Senior Data Scientist,H2O.ai
7,grandmaster,CPMP,https://www.kaggle.com/cpmpml,23,24,4,127781,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
8,grandmaster,Ilu,https://www.kaggle.com/ilu000,15,6,3,120862,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
9,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,16,19,8,115622,United States,California,San Diego,Data Scientist & Researcher,Nvidia
10,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,11,6,4,112523,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
11,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,4,112189,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
12,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,104650,United States,Kansas,Dillon,Drinker,Riggins' Rigs
13,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,12,3,1,104015,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
14,grandmaster,tascj,https://www.kaggle.com/tascj0,8,8,3,102484,China,Zhejiang,Hangzhou, , 
15,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,95735,China,Guangdong Province,Guangzhou,^ ^,403
16,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,85837,Greece,UNKOWN,Volos,Data Scientist,H2O ai
