rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,31,13,3,204111,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,38,13,1,195453,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,28,7,0,189655,Austria,Vienna,Vienna,Senior Principal Data Scientist,H2O.AI
4,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,19,8,2,163431,Japan,Tokyo,Tokyo,Principal Data Scientist,H2O.ai
5,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,22,2,161009,United States,New York,New York,Data Scientist,H2O.ai
6,grandmaster,hyd,https://www.kaggle.com/hydantess,6,3,0,127468,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN
7,grandmaster,Ilu,https://www.kaggle.com/ilu000,17,7,3,111440,Germany,North Rhine-Westphalia,Cologne,Principal Data Scientist,H2O.AI
8,grandmaster,Giba,https://www.kaggle.com/titericz,61,47,31,107292,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
9,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,14,3,1,107270,Belarus,Minsk Region,Minsk,Machine Learning Engineer,Mapbox
10,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,12,26,7,106409,Taiwan,UNKOWN,Hsinchu,MLE,JCV
11,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,26,4,105313,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
12,grandmaster,tascj,https://www.kaggle.com/tascj0,10,8,3,94373,China,Zhejiang,Hangzhou, , 
13,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,17,19,8,92280,United States,California,San Diego,Data Scientist & Researcher,Nvidia
14,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,12,8,4,91565,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
15,grandmaster,gezi,https://www.kaggle.com/goldenlock,5,1,0,87238,China,Beijing,Beijing,Former SDE,"Nvidia,Baidu,Meituan,Sogou"
16,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,5,82995,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
17,grandmaster,Shujun,https://www.kaggle.com/shujun717,6,6,3,79842,United States,Texas,College Station,PhD student,Texas A&M University
18,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,78072,United States,Kansas,Dillon,Drinker,Riggins' Rigs
19,grandmaster,charmq,https://www.kaggle.com/charmq,8,4,3,77982,Japan,Tokyo,Tokyo,Engineer,Preferred Networks
20,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,5,21,6,77475,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi"
21,grandmaster,takuoko,https://www.kaggle.com/takuok,10,11,11,77225,Japan,Tokyo,Tokyo,DataScientist,Rist. Z by HP & NVIDIA Data Science Global Ambassador
22,grandmaster,daishu,https://www.kaggle.com/daishu,9,6,1,73885,China,Fujian,Xiamen,Exploring neural networks,UNKOWN
23,master,Manuel Campos,https://www.kaggle.com/coreacasa,2,30,25,73853,Spain,Community of Madrid,Madrid,Kaggler at None,UNKOWN
24,grandmaster,Theo Viel,https://www.kaggle.com/theoviel,11,14,3,73137,France,Île-de-France,Paris,Applied ML,NVIDIA
25,expert,Kirderf,https://www.kaggle.com/kirderf,0,14,29,72832,Sweden,Stockholm County,Stockholm,nan,nan
26,grandmaster,Bo,https://www.kaggle.com/boliu0,17,8,4,71555,United States,New York,New York,Deep Learning,NVIDIA
27,expert,Taro,https://www.kaggle.com/taroz1461,2,0,0,70151,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN
28,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,69592,China,Guangdong Province,Guangzhou,^ ^,403
29,grandmaster,Takoi,https://www.kaggle.com/takoihiraokazu,9,7,2,67942,Japan,Fukuoka,Fukuoka,Data Scientist,Rist
30,grandmaster,Tom,https://www.kaggle.com/tikutiku,5,13,1,67145,Japan,Nagano,Ueda,Data Scientist,Sprout.ai
31,master,Kɔuq Wang,https://www.kaggle.com/gmhost,4,23,11,66104,China,Guangdong Province,Shenzhen,None,None
32,master,Mathurin Aché,https://www.kaggle.com/mathurinache,7,37,48,65403,France,Pays de la Loire,Orvault,Data Scientist,Prevision.io
33,grandmaster,Yauhen Babakhin,https://www.kaggle.com/ybabakhin,11,4,6,64475,Czechia,Prague,Prague,Principal Data Scientist,H2O.ai
34,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,62318,Greece,UNKOWN,Volos,Data Scientist,H2O ai
35,master,KKY,https://www.kaggle.com/evilpsycho42,2,6,4,62189,China,Sichuan,Chengdu,Mentor,BoolArt
36,grandmaster,nyanp,https://www.kaggle.com/nyanpn,5,7,2,62059,Japan,Osaka,Osaka,Engineer,Japan
37,grandmaster,Darragh,https://www.kaggle.com/darraghdog,17,11,2,61907,Ireland,County Dublin,Dublin,AI Researcher,DoubleYard
