rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,29,13,3,225979,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,37,13,1,194820,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,21,2,184741,United States,New York,New York,Data Scientist,H2O.ai
4,grandmaster,Psi,https://www.kaggle.com/philippsinger,25,7,0,154039,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
5,grandmaster,Giba,https://www.kaggle.com/titericz,60,47,31,128072,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
6,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,24,4,124083,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
7,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,17,8,2,120642,Japan,Tokyo,Tokyo,Senior Data Scientist,H2O.ai
8,grandmaster,Ilu,https://www.kaggle.com/ilu000,15,6,3,111125,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
9,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,16,19,8,106307,United States,California,San Diego,Data Scientist & Researcher,Nvidia
10,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,11,7,4,105462,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
11,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,4,103150,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
12,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,96734,United States,Kansas,Dillon,Drinker,Riggins' Rigs
13,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,12,3,1,95635,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
14,grandmaster,tascj,https://www.kaggle.com/tascj0,8,8,3,94227,China,Zhejiang,Hangzhou, , 
15,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,88022,China,Guangdong Province,Guangzhou,^ ^,403
16,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,78921,Greece,UNKOWN,Volos,Data Scientist,H2O ai
17,grandmaster,Bo,https://www.kaggle.com/boliu0,16,8,4,77625,United States,New York,New York,Deep Learning,NVIDIA
18,grandmaster,takuoko,https://www.kaggle.com/takuok,9,10,11,76533,Japan,Tokyo,Tokyo,DataScientist,Rist. Z by HP & NVIDIA Data Science Global Ambassador
19,master,gezi,https://www.kaggle.com/goldenlock,4,1,0,76444,China,Beijing,Beijing,Junior SDE,Baidu
20,grandmaster,nyanp,https://www.kaggle.com/nyanpn,5,6,2,74946,Japan,Osaka,Osaka,Engineer,Japan
21,expert,Kirderf,https://www.kaggle.com/kirderf,0,14,24,74432,Sweden,Stockholm County,Stockholm,nan,nan
22,master,Manuel Campos,https://www.kaggle.com/coreacasa,2,28,23,74021,Spain,Community of Madrid,Madrid,Kaggler at None,UNKOWN
23,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,11,24,6,73573,Taiwan,UNKOWN,Hsinchu,UNKOWN,UNKOWN
24,grandmaster,Limerobot,https://www.kaggle.com/limerobot,12,7,1,73198,South Korea,Gyeonggi-do,Seongnam-si,Data Scientist,UPSTAGE AI
25,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,5,18,6,72224,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi"
26,master,Mathurin Aché,https://www.kaggle.com/mathurinache,7,36,47,69305,France,Pays de la Loire,Orvault,Data Scientist,Prevision.io
27,grandmaster,DungNB,https://www.kaggle.com/nguyenbadung,6,11,5,68834,Vietnam,Hanoi,Hanoi,Data Scientist,Vin Big Data
28,grandmaster,(⊙﹏⊙),https://www.kaggle.com/wht1996,5,2,3,67008,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN
29,grandmaster,dott,https://www.kaggle.com/dott1718,13,7,2,66790,Austria,Vienna,Vienna,Senior Data Scientist,H2O.ai
30,master,Kɔuq Wang,https://www.kaggle.com/gmhost,3,20,9,66657,China,Guangdong Province,Shenzhen,None,None
31,grandmaster,Kramarenko Vladislav,https://www.kaggle.com/vlomme,5,4,2,65853,Russia,UNKOWN,Saint Petersburg,-,-
