rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,26,11,3,264887,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,36,10,1,225339,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,23,19,2,222917,United States,New York,New York,Data Scientist,H2O.ai
4,grandmaster,Psi,https://www.kaggle.com/philippsinger,24,7,0,198309,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
5,grandmaster,Giba,https://www.kaggle.com/titericz,59,47,31,157787,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
6,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,16,8,2,145174,Japan,Tokyo,Tokyo,Machine Learning Engineer,LINE corp.
7,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,10,5,4,127060,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
8,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,118817,China,Guangdong Province,Guangzhou,^ ^,403
9,grandmaster,Ilu,https://www.kaggle.com/ilu000,12,6,3,118258,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
10,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,19,25,4,114039,Turkey,İstanbul,İstanbul,Machine Learning,NVIDIA
11,grandmaster,CPMP,https://www.kaggle.com/cpmpml,22,24,4,112354,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
12,master,Tim Riggins,https://www.kaggle.com/timriggins,3,7,4,107059,United States,Kansas,Dillon,Drinker,Riggins' Rigs
13,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,106533,Greece,UNKOWN,Volos,Data Scientist,H2O ai
14,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,15,15,8,105081,United States,California,San Diego,Data Scientist & Researcher,Nvidia
