rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
169,master,Hongwei Zhang,https://www.kaggle.com/hongweizhang,3,2,1,31845,Japan,Tokyo,Tokyo,Senior Machine Learning Engineer,LINE corp.
170,master,digimagi,https://www.kaggle.com/digimagi,1,3,7,31784,Japan,Kanagawa,Chigasaki,Data Scientist,Life Insurance Company
171,expert,nnn,https://www.kaggle.com/abbccaabb,0,7,10,31720,Japan,Ibaraki,Sakuragawa,n,n
172,master,Ynot,https://www.kaggle.com/songwonho,7,9,2,31477,South Korea,Gyeonggi-do,Suwon-si,AI Research Engineer,UPSTAGE AI
173,master,Udbhav Bamba,https://www.kaggle.com/ubamba98,3,5,2,31338,India,Jharkhand,Dhanbad,Applied Scientist,Amazon
174,expert,Ilya Elenik,https://www.kaggle.com/ielenik,2,0,0,31323,Russia,UNKOWN,Moscow,Software enginer,MDO
175,master,🐢 Jun Koda,https://www.kaggle.com/junkoda,3,3,2,31241,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN
176,master,steubk,https://www.kaggle.com/steubk,2,13,11,31227,Italy,Lazio,Rome,data analyst,softlab
177,master,Nathaniel Maddux,https://www.kaggle.com/nathanrm,2,1,0,31202,United States,Colorado,Boulder,Physicist and Data Scientist,Maddux Institute for Advanced Daydreaming
178,master,tmp,https://www.kaggle.com/baosenguo,3,3,1,31082,China,Guangdong Province,Shenzhen,UNKOWN,UNKOWN
179,grandmaster,vecxoz,https://www.kaggle.com/vecxoz,5,15,8,30999,Ukraine,Dnipropetrovsk Oblast,Dnipro,Deep Learning Engineer,VecxozLab
180,expert,BIZEN,https://www.kaggle.com/hiro5299834,0,5,5,30992,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
181,master,Sergey Bryansky,https://www.kaggle.com/sggpls,5,12,7,30851,Russia,UNKOWN,Moscow,Data 💪Wrestler,void*
182,master,Gilles Vandewiele,https://www.kaggle.com/group16,5,3,2,30801,Belgium,Flanders,Ghent,Postdoc,Ghent University
183,grandmaster,Silogram,https://www.kaggle.com/psilogram,17,33,12,30587,Switzerland,Zurich,Zürich,Freelance data scientist,Self-employed
184,master,Rib~,https://www.kaggle.com/dc5e964768ef56302a32,2,4,2,30520,,,,UNKOWN,
185,master,yu4u,https://www.kaggle.com/ren4yu,4,11,2,30223,Japan,Tokyo,Tokyo,Research Engineer,Mobility Technologies
186,master,xia,https://www.kaggle.com/xiamaozi11,3,4,0,30139,China,Anhui,Hefei,UNKOWN,UNKOWN
187,grandmaster,kenji,https://www.kaggle.com/knjcode,5,6,0,30071,Japan,Fukuoka,Fukuoka,Engineer,UNKOWN
