rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,38,13,1,223250,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
2,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,29,13,3,219301,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
3,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,24,21,2,179281,United States,New York,New York,Data Scientist,H2O.ai
4,grandmaster,Psi,https://www.kaggle.com/philippsinger,26,7,0,174911,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
5,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,18,8,2,129846,Japan,Tokyo,Tokyo,Senior Data Scientist,H2O.ai
6,grandmaster,Giba,https://www.kaggle.com/titericz,60,47,31,125581,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
7,grandmaster,CPMP,https://www.kaggle.com/cpmpml,24,24,4,120416,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
8,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,12,7,4,111165,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
9,grandmaster,Ilu,https://www.kaggle.com/ilu000,15,7,3,110945,Germany,North Rhine-Westphalia,Cologne,Senior Data Scientist,H2O.AI
10,grandmaster,tascj,https://www.kaggle.com/tascj0,9,8,3,109393,China,Zhejiang,Hangzhou, , 
11,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,13,3,1,106839,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
12,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,16,19,8,103851,United States,California,San Diego,Data Scientist & Researcher,Nvidia
13,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,21,25,5,101641,Turkey,İstanbul,İstanbul,NPC,a low-cost simulation
14,grandmaster,charmq,https://www.kaggle.com/charmq,8,4,3,95695,Japan,Tokyo,Tokyo,Engineer,Preferred Networks
15,master,Tim Riggins,https://www.kaggle.com/timriggins,3,10,5,94191,United States,Kansas,Dillon,Drinker,Riggins' Rigs
16,grandmaster,takuoko,https://www.kaggle.com/takuok,10,10,11,92222,Japan,Tokyo,Tokyo,DataScientist,Rist. Z by HP & NVIDIA Data Science Global Ambassador
17,grandmaster,Bo,https://www.kaggle.com/boliu0,17,8,4,88100,United States,New York,New York,Deep Learning,NVIDIA
18,expert,Taro,https://www.kaggle.com/taroz1461,2,0,0,86371,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN
19,grandmaster,sheep,https://www.kaggle.com/steamedsheep,9,10,4,85683,China,Guangdong Province,Guangzhou,^ ^,403
20,grandmaster,Takoi,https://www.kaggle.com/takoihiraokazu,9,7,2,83651,Japan,Fukuoka,Fukuoka,Data Scientist,Rist
21,master,Manuel Campos,https://www.kaggle.com/coreacasa,2,29,23,79551,Spain,Community of Madrid,Madrid,Kaggler at None,UNKOWN
22,expert,Kirderf,https://www.kaggle.com/kirderf,0,14,26,78399,Sweden,Stockholm County,Stockholm,nan,nan
23,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,59,42,76589,Greece,UNKOWN,Volos,Data Scientist,H2O ai
24,master,Nischay Dhankhar,https://www.kaggle.com/nischaydnk,5,19,6,76582,India,Haryana,Gurugram,Undergraduate,"Netaji Subash University Of Technology, Delhi"
25,grandmaster,nyanp,https://www.kaggle.com/nyanpn,5,7,2,76408,Japan,Osaka,Osaka,Engineer,Japan
26,grandmaster,khyeh,https://www.kaggle.com/khyeh0719,11,25,6,74765,Taiwan,UNKOWN,Hsinchu,UNKOWN,UNKOWN
27,master,hyd,https://www.kaggle.com/hydantess,4,3,0,74393,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN
28,master,gezi,https://www.kaggle.com/goldenlock,4,1,0,74185,China,Beijing,Beijing,Junior SDE,Baidu
29,master,Mathurin Aché,https://www.kaggle.com/mathurinache,7,37,48,73200,France,Pays de la Loire,Orvault,Data Scientist,Prevision.io
30,grandmaster,Limerobot,https://www.kaggle.com/limerobot,12,7,1,71035,South Korea,Gyeonggi-do,Seongnam-si,Data Scientist,UPSTAGE AI
31,master,Kɔuq Wang,https://www.kaggle.com/gmhost,4,21,9,70951,China,Guangdong Province,Shenzhen,None,None
32,grandmaster,DungNB,https://www.kaggle.com/nguyenbadung,6,12,5,69963,Vietnam,Hanoi,Hanoi,Data Scientist,Vin Big Data
33,grandmaster,tkm2261,https://www.kaggle.com/tkm2261,7,6,4,65162,Japan,UNKOWN,UNKOWN,CS PhD student,UCIrvine
34,grandmaster,(⊙﹏⊙),https://www.kaggle.com/wht1996,5,2,3,65027,China,Zhejiang,Hangzhou,UNKOWN,UNKOWN
35,grandmaster,dott,https://www.kaggle.com/dott1718,13,7,2,65026,Austria,Vienna,Vienna,Senior Data Scientist,H2O.ai
36,grandmaster,Theo Viel,https://www.kaggle.com/theoviel,10,13,3,64896,France,Île-de-France,Paris,Research Scientist,DAMAE Medical
37,grandmaster,Kramarenko Vladislav,https://www.kaggle.com/vlomme,5,4,2,63907,Russia,UNKOWN,Saint Petersburg,-,-
38,grandmaster,YoonSoo,https://www.kaggle.com/harangdev,6,6,1,63614,South Korea,Seoul,Seoul,Student,Seoul National University
39,grandmaster,currypurin,https://www.kaggle.com/currypurin,5,8,6,62651,Japan,Tokyo,Tokyo,kaggler,data-refinement
40,master,Eduardo Peynetti,https://www.kaggle.com/eduardopeynetti,2,3,0,62552,France,Île-de-France,Paris,Quantitative Researcher,.
41,grandmaster,KS,https://www.kaggle.com/ks2019,5,17,4,62007,India,Maharashtra,Mumbai,Machine Learning Engineer,Jio Saavn
42,master,UEMU,https://www.kaggle.com/asaliquid1011,2,8,2,60646,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN
43,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,9,17,28,60351,United States,Indiana,Greencastle,Data Scientist,Nvidia
44,master,Tom,https://www.kaggle.com/tikutiku,4,13,1,60206,Japan,Nagano,Ueda,Engineer,HIOKI E.E.Corporation
45,grandmaster,senkin13,https://www.kaggle.com/senkin13,8,6,4,59623,Japan,Tokyo,Tokyo,Data Scientist,DataRobot Japan
46,grandmaster,ONODERA,https://www.kaggle.com/onodera,12,14,5,58021,Japan,Tokyo,Shibuya City,Senior Deep Learning Data Scientist,NVIDIA
47,expert,Harm Buisman,https://www.kaggle.com/harmbuisman,1,1,0,57718,Netherlands,UNKOWN,UNKOWN,UNKOWN,UNKOWN
48,master,zzy,https://www.kaggle.com/zzy990106,4,6,4,56808,China,Beijing,Beijing,Master student,Peking University
49,master,Shujun,https://www.kaggle.com/shujun717,4,6,3,56312,United States,Texas,College Station,PhD student,Texas A&M University
50,master,Ivan Panshin,https://www.kaggle.com/ivanpan,4,8,6,55852,Georgia,Adjara,Batumi,Senior Computer Vision Engineer,Checklens
51,master,cmanning,https://www.kaggle.com/cmanning,2,7,5,55396,United States,Virginia,McLean,Retired,UNKOWN
52,master,ishikei,https://www.kaggle.com/amanatsu,4,5,4,54826,Japan,Ibaraki,Tsukuba,ML Engineer,Rist Inc.
53,master,Darek Kłeczek,https://www.kaggle.com/thedrcat,3,2,0,54454,Poland,Masovian Voivodeship,Warsaw,"ML Engineer, Growth",Weights & Biases
54,master,Ryuichi,https://www.kaggle.com/ryuichigt,2,8,5,54423,Japan,Tokyo,Tokyo,Musician,DentsuDigital
55,master,Prateek,https://www.kaggle.com/prateekagnihotri,4,17,3,54069,India,Delhi,New Delhi,Senior Data Scientist,Clairvoyant (EXL)
56,grandmaster,tereka,https://www.kaggle.com/tereka,8,23,4,52564,Japan,Kanagawa,Yokohama,Senior Data Scientist,Acroquest Technology Co. Ltd.
57,grandmaster,tito,https://www.kaggle.com/its7171,11,14,0,52353,Japan,Tokyo,Tokyo,Search Engineer,Universal Knowledge Inc.
58,master,KhanhVD,https://www.kaggle.com/duykhanh99,2,25,8,52121,Vietnam,Hanoi,Hanoi,AI Engineer,_
59,expert,Amir Ghazi,https://www.kaggle.com/amirghazi,1,0,1,50930,Iran,Hamadan Province,Hamedan,No one,No where
60,master,ForcewithMe,https://www.kaggle.com/forcewithme,3,8,1,50870,China,Guangdong Province,Guangzhou,Student,kaggle
61,master,Volodymyr,https://www.kaggle.com/vladimirsydor,3,9,4,50815,Ukraine,UNKOWN,Kyiv,Deep Learning engineer,Respeecher
62,expert,andrekos,https://www.kaggle.com/andrekos,0,9,34,50272,Singapore,UNKOWN,UNKOWN,Lead Data Scientist,H2i
63,grandmaster,Gary,https://www.kaggle.com/garybios,12,11,0,49928,China,Guangdong Province,Shenzhen,overfitting,Kaggle
64,grandmaster,keetar,https://www.kaggle.com/keetar,5,1,0,49544,South Korea,Seoul,Seoul,ML Engineer,Samsung Electronics
65,grandmaster,30CrMnSiA,https://www.kaggle.com/h4211819,8,8,2,49513,China,Beijing,Beijing,DDRK,Beijing
66,master,pao,https://www.kaggle.com/go5kuramubon,4,9,3,49374,Japan,Aichi,Nagoya,Data Scientist,Japanese company
67,expert,thatdataanalyst,https://www.kaggle.com/koki25ando,1,0,1,49243,Japan,Tokyo,Tokyo,Data Scientist,Japanese Company
68,grandmaster,outrunner,https://www.kaggle.com/outrunner,7,15,5,48867,Taiwan,UNKOWN,Taipei,Data Scientist,YUAN
69,grandmaster,Isamu,https://www.kaggle.com/yamsam,8,6,3,48732,Japan,Kanagawa,Yokohama,Data Scientist,Canon Inc.
70,master,Nanashi,https://www.kaggle.com/jesucristo,1,23,14,48150,Germany,Bavaria,Munich,Alchemist,H2O.ai
71,grandmaster,Ian Pan,https://www.kaggle.com/vaillant,7,8,0,47531,United States,Massachusetts,Boston,Radiology Resident,Brigham & Women's Hospital
72,grandmaster,Chun Ming Lee,https://www.kaggle.com/leecming,5,3,0,46798,Singapore,UNKOWN,UNKOWN,Data Science,H2O.ai
73,grandmaster,nagiss,https://www.kaggle.com/nagiss,5,6,0,46722,Japan,Tokyo,Tokyo,Data Scientist,DeNA
74,grandmaster,Vicens Gaitan,https://www.kaggle.com/vicensgaitan,6,23,14,46266,Spain,Catalonia,Barcelona,Chief Data Scientist,Grupo AIA
75,master,James Trotman,https://www.kaggle.com/jtrotman,4,33,13,45812,United Kingdom,England,UNKOWN,UNKOWN,UNKOWN
76,grandmaster,Ouranos,https://www.kaggle.com/ouranos,7,27,13,45341,Greece,UNKOWN,Athens,Data Scientist,Nodalpoint Systems
77,grandmaster,Tom Van de Wiele,https://www.kaggle.com/tvdwiele,7,1,0,45016,Norway,Innlandet,Gran,Senior Quantitative Researcher,G-Research
78,grandmaster,XL,https://www.kaggle.com/berserker408,7,15,5,44907,China,Beijing,Beijing,Quant,Quant
79,master,The Nam,https://www.kaggle.com/namgalielei,3,7,1,44193,Vietnam,Hanoi,Hanoi,Data Scientist,Viettel Data Governance Department
80,grandmaster,Young for you,https://www.kaggle.com/mahluo,5,14,7,43419,China,Sichuan,Chengdu,Math,SCU
81,grandmaster,DIKW,https://www.kaggle.com/bestpredict,5,12,2,43406,China,UNKOWN,Beijing,Research Engineer ,UNKOWN
82,grandmaster,Random_prediction,https://www.kaggle.com/rytisva88,5,12,1,43350,United States,District of Columbia,Washington,NA,NA
83,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,9,11,5,42882,Japan,Tokyo,Tokyo,Data Scientist,XXX
84,master,Firas Baba,https://www.kaggle.com/rinnqd,2,9,1,42810,United Kingdom,England,London,Quant researcher,QRT
85,master,colum2131,https://www.kaggle.com/columbia2131,4,4,3,42512,Japan,Fukuoka,Fukuoka,Student,Kyushu Univ.
86,expert,yuuniee,https://www.kaggle.com/yuuniekiri,1,0,2,42486,South Korea,Seoul,Seoul,ML Engineer,UNKOWN
87,grandmaster,Mike Kim,https://www.kaggle.com/mikeskim,7,40,33,42451,United States,California,San Francisco,Data Scientist,Stealth
88,master,Carno Zhao,https://www.kaggle.com/carnozhao,2,2,0,42378,China,Beijing,Beijing,Student,University of Chinese Academy of Sciences
89,expert,Ray Melius,https://www.kaggle.com/xabonum,0,7,13,42370,Belgium,Brussels,Brussels,Programmer,IT company
90,master,Ulrich G.,https://www.kaggle.com/ulrich07,1,8,15,42318,France,Île-de-France,Palaiseau,Student,ENS-CACHAN & ENSAE Paris-Tech
91,expert,Nat Bel ML Fun,https://www.kaggle.com/natbel4ml,0,12,21,42056,UNKOWN,UNKOWN,UNKOWN,San Francisco Bay Area,UNKOWN
92,master,fam_taro,https://www.kaggle.com/yukkyo,4,4,1,42038,Japan,Kyoto,Kyoto,Engineer,Rist Inc.
93,master,LeonShangguan,https://www.kaggle.com/leonshangguan,2,8,5,40549,United States,New York,New York,UNKOWN,UNKOWN
94,expert,Marek Nurzynski,https://www.kaggle.com/marek3000,0,5,22,40498,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
