rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Dieter,https://www.kaggle.com/christofhenkel,25,9,3,331742,Germany,Bavaria,Munich,Deep Learning Data Scientist,Nvidia
2,grandmaster,bestfitting,https://www.kaggle.com/bestfitting,33,10,1,233965,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
3,grandmaster,Psi,https://www.kaggle.com/philippsinger,22,7,0,226807,Austria,Vienna,Vienna,Senior Data Scientist,H2O.AI
4,grandmaster,Guanshuo Xu,https://www.kaggle.com/wowfattie,22,19,2,209802,United States,New York,New York,Data Scientist,H2O.ai
5,grandmaster,Ilu,https://www.kaggle.com/ilu000,11,5,3,143734,Germany,North Rhine-Westphalia,Aachen,Software Engineer,Aachen
6,grandmaster,Qishen Ha,https://www.kaggle.com/haqishen,15,8,2,142499,Japan,Tokyo,Tokyo,Machine Learning Engineer,LINE corp.
7,grandmaster,Μαριος Μιχαηλιδης KazAnova,https://www.kaggle.com/kazanova,41,58,42,134223,Greece,UNKOWN,Volos,Data Scientist,H2O ai
8,grandmaster,Ahmet Erdem,https://www.kaggle.com/aerdem4,18,23,4,130018,Turkey,Kocaeli,Karamürsel,Machine Learning,NVIDIA
9,grandmaster,DungNB,https://www.kaggle.com/nguyenbadung,6,11,4,118403,Vietnam,Hanoi,Hanoi,Machine Learning Engineer,Vingroup Big Data
10,grandmaster,Giba,https://www.kaggle.com/titericz,58,47,30,117628,Brazil,State of Paraná,Curitiba,RAPIDS,NVIDIA
11,grandmaster,Selim Seferbekov,https://www.kaggle.com/selimsef,10,3,1,115861,Belarus,Minsk Region,Minsk,Computer Vision Engineer,Mapbox
12,grandmaster,Bo,https://www.kaggle.com/boliu0,15,8,4,113830,United States,New York,New York,Deep Learning,NVIDIA
13,grandmaster,dott,https://www.kaggle.com/dott1718,13,5,2,109828,Austria,Vienna,Vienna,Senior Data Scientist,H2O.ai
14,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,9,17,27,97779,United States,Indiana,Greencastle,Data Scientist,Nvidia
15,grandmaster,CPMP,https://www.kaggle.com/cpmpml,20,20,4,95736,France,UNKOWN,UNKOWN,RAPIDS and deep learning,NVIDIA
16,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,13,11,7,93074,United States,California,San Diego,Data Scientist & Researcher,Nvidia
17,grandmaster,Limerobot,https://www.kaggle.com/limerobot,10,4,1,91390,South Korea,Gyeonggi-do,Seongnam-si,Data Scientist,UPSTAGE AI
18,grandmaster,Gary,https://www.kaggle.com/garybios,12,11,0,90816,China,Guangdong Province,Shenzhen,overfitting,Kaggle
19,master,Tom,https://www.kaggle.com/tikutiku,4,9,1,90764,Japan,Nagano,Ueda,Engineer,HIOKI E.E.Corporation
20,grandmaster,SeungKee,https://www.kaggle.com/keetar,5,1,0,90457,South Korea,Seoul,Seoul,DL Engineer,Samsung Electronics
21,grandmaster,Theo Viel,https://www.kaggle.com/theoviel,8,12,3,79730,France,Île-de-France,Paris,Research Scientist,DAMAE Medical
22,grandmaster,sheep,https://www.kaggle.com/steamedsheep,7,10,4,76648,China,Guangdong Province,Guangzhou,^ ^,403
23,grandmaster,nvnn,https://www.kaggle.com/nvnnghia,7,5,4,76227,Vietnam,Da Nang,Da Nang,UNKOWN,UNKOWN
24,grandmaster,Tom Van de Wiele,https://www.kaggle.com/tvdwiele,7,0,0,76146,Norway,Innlandet,Gran,Data Scientist,Intelecy
