rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,54,15,3,3883,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,54,24,14,3503,Norway,Rogaland,Stavanger,AutoNLP,🤗
3,grandmaster,DanB,https://www.kaggle.com/dansbecker,43,8,23,3107,United States,Colorado,Golden,Founder,decision.ai
4,master,Marília Prata,https://www.kaggle.com/mpwolke,9,17,219,2423,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Self employed
5,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,27,6,5,2368,Japan,Tokyo,Tokyo,Data Scientist,XXX
6,grandmaster,Andrew Lukyanenko,https://www.kaggle.com/artgor,42,23,25,2030,Russia,UNKOWN,Moscow,R&D CV TechLead,deep learning
7,grandmaster,DATAI,https://www.kaggle.com/kanncaa1,19,6,8,1887,Turkey,Istanbul,Istanbul,EE,   
8,grandmaster,Andrada Olteanu,https://www.kaggle.com/andradaolteanu,22,6,6,1823,Romania,Bucharest,Bucharest,Data Scientist,Endava
9,grandmaster,torch,https://www.kaggle.com/rhtsingh,15,2,13,1737,India,Uttar Pradesh,Noida,UNKOWN,UNKOWN
10,grandmaster,xhlulu,https://www.kaggle.com/xhlulu,30,16,35,1732,Canada,Quebec,Montreal, 💻,🏛️
11,grandmaster,Vitalii Mokin,https://www.kaggle.com/vbmokin,20,13,54,1660,Ukraine,Vinnytsia Oblast,Vinnytsia,Professor,Vinnytsia National Technical University
12,grandmaster,Martin Kovacevic Buvinic,https://www.kaggle.com/ragnar123,19,19,8,1650,Chile,Santiago Metropolitan Region,Santiago,Data Scientist,UNKOWN
13,grandmaster,Subin An,https://www.kaggle.com/subinium,18,12,43,1570,South Korea,Seoul,Seoul,HCI Lab,Seoul National Univ.
14,grandmaster,Yaroslav Isaienkov,https://www.kaggle.com/ihelon,15,3,12,1556,Ukraine,Vinnytsia Oblast,Vinnytsia,Data Scientist,Onseo
15,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,24,50,141,1554,United States,Indiana,Greencastle,Data Scientist,Nvidia
16,grandmaster,Mr_KnowNothing,https://www.kaggle.com/tanulsingh077,16,5,3,1546,United States,California,California City,Applied AI Research Engineer,LevelAI
17,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,23,12,33,1499,United States,District of Columbia,Washington,Tom,o
18,grandmaster,chumajin,https://www.kaggle.com/chumajin,17,5,3,1445,Japan,Tokyo,Tokyo,Engineer,KIOXIA
19,grandmaster,Prashant Banerjee,https://www.kaggle.com/prashant111,26,17,0,1407,India,Haryana,Gurugram,Freelance Data Scientist,UNKOWN
20,grandmaster,Vopani,https://www.kaggle.com/rohanrao,17,10,6,1406,India,Karnataka,Bengaluru,Data Scientist,H2O.ai
21,grandmaster,Parul Pandey,https://www.kaggle.com/parulpandey,17,15,18,1398,India,Telangana,Hyderabad,Data Science ,H2O.ai
22,grandmaster,tito,https://www.kaggle.com/its7171,16,2,5,1368,Japan,Tokyo,Tokyo,Search Engineer,Universal Knowledge Inc.
23,master,Carl McBride Ellis,https://www.kaggle.com/carlmcbrideellis,8,19,43,1345,Spain,Community of Madrid,Madrid,Open to work,predictive modelling
24,master,Hidehisa Arai,https://www.kaggle.com/hidehisaarai1213,13,5,8,1324,Japan,Tokyo,Tokyo,ML Engineer,Recruit Co. Ltd
25,grandmaster,Heads or Tails,https://www.kaggle.com/headsortails,22,0,0,1313,United States,California,San Francisco,curious,heart
26,grandmaster,Gabriel Preda,https://www.kaggle.com/gpreda,29,28,56,1291,Romania,Bucharest,Bucharest,Data Scientist,Endava
27,master,ColinMorris,https://www.kaggle.com/colinmorris,10,7,9,1273,Canada,Ontario,Toronto,Data Scientist,Kaggle
28,grandmaster,Alex Shonenkov,https://www.kaggle.com/shonenkov,18,4,4,1264,Russia,Krasnodar Krai,Adler,Researcher,Sber
