rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,63,16,3,4747,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,63,24,20,3750,Norway,Rogaland,Stavanger,AutoNLP,Hugging Face
3,master,Marília Prata,https://www.kaggle.com/mpwolke,11,28,333,3160,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Self employed
4,grandmaster,DanB,https://www.kaggle.com/dansbecker,43,9,24,2452,United States,Colorado,Golden,Founder,decision.ai
5,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,32,7,7,2445,Japan,Tokyo,Tokyo,Data Scientist,XXX
6,grandmaster,Andrada Olteanu,https://www.kaggle.com/andradaolteanu,30,5,5,2057,Romania,Bucharest,Bucharest,Data Scientist,Endava
7,grandmaster,dataista0 (Julián Peller),https://www.kaggle.com/julian3833,19,12,18,1921,Argentina,Buenos Aires,Buenos Aires,Data scientist,Toptal
8,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,28,15,50,1868,United States,District of Columbia,Washington,Tom,o
9,grandmaster,Awsaf,https://www.kaggle.com/awsaf49,20,5,11,1863,Bangladesh,Dhaka Division,Dhaka,EEE Undergrad,BUET
10,grandmaster,DATAI,https://www.kaggle.com/kanncaa1,19,8,6,1769,Turkey,Istanbul,Istanbul,EE,   
11,grandmaster,Remek Kinas,https://www.kaggle.com/remekkinas,18,16,3,1761,Poland,Masovian Voivodeship,Warsaw,AI independent consultant,ai5 (own business)
12,grandmaster,Carl McBride Ellis,https://www.kaggle.com/carlmcbrideellis,17,21,62,1702,Spain,Community of Madrid,Madrid,Independent contractor,remote
13,grandmaster,Sanskar Hasija,https://www.kaggle.com/odins0n,20,11,3,1643,India,Maharashtra,Pune,Student,IIIT PUNE
14,grandmaster,Subin An,https://www.kaggle.com/subinium,25,10,46,1554,South Korea,Seoul,Seoul,HCI Lab,Seoul National Univ.
15,grandmaster,Tensor Girl,https://www.kaggle.com/usharengaraju,19,1,0,1539,India,Karnataka,Bengaluru,Nobody,Nowhere
16,grandmaster,Andrew Lukyanenko,https://www.kaggle.com/artgor,43,24,23,1506,Russia,UNKOWN,Moscow,R&D CV TechLead,deep learning
17,grandmaster,OH SEOK KIM,https://www.kaggle.com/ohseokkim,20,8,9,1401,South Korea,Gyeonggi-do,Suwon-si,Software Engineer,Samsung Electronics.
