rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,58,15,3,4430,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,58,24,19,3508,Norway,Rogaland,Stavanger,AutoNLP,Hugging Face
3,master,Marília Prata,https://www.kaggle.com/mpwolke,11,24,271,2796,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Self employed
4,grandmaster,DanB,https://www.kaggle.com/dansbecker,43,9,23,2740,United States,Colorado,Golden,Founder,decision.ai
5,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,28,7,5,2168,Japan,Tokyo,Tokyo,Data Scientist,XXX
6,grandmaster,Andrada Olteanu,https://www.kaggle.com/andradaolteanu,25,6,5,1843,Romania,Bucharest,Bucharest,Data Scientist,Endava
7,grandmaster,DATAI,https://www.kaggle.com/kanncaa1,19,7,7,1809,Turkey,Istanbul,Istanbul,EE,   
8,grandmaster,Carl McBride Ellis,https://www.kaggle.com/carlmcbrideellis,15,22,58,1763,Spain,Community of Madrid,Madrid,Freelance,remote
9,grandmaster,Andrew Lukyanenko,https://www.kaggle.com/artgor,42,23,25,1745,Russia,UNKOWN,Moscow,R&D CV TechLead,deep learning
10,grandmaster,Subin An,https://www.kaggle.com/subinium,24,9,47,1683,South Korea,Seoul,Seoul,HCI Lab,Seoul National Univ.
11,grandmaster,dataista0 (Julián Peller),https://www.kaggle.com/julian3833,15,13,13,1681,Argentina,Buenos Aires,Buenos Aires,Data scientist,Toptal
12,master,Yam Peleg,https://www.kaggle.com/yamqwe,14,7,41,1605,Israel,Tel Aviv District,Tel Aviv-Yafo,UNKOWN,UNKOWN
13,grandmaster,torch,https://www.kaggle.com/rhtsingh,15,2,14,1566,India,Uttar Pradesh,Noida,UNKOWN,UNKOWN
14,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,25,13,40,1545,United States,District of Columbia,Washington,Tom,o
15,grandmaster,Awsaf,https://www.kaggle.com/awsaf49,17,5,11,1541,Bangladesh,Dhaka Division,Dhaka,Student,UNKOWN
16,grandmaster,Vitalii Mokin,https://www.kaggle.com/vbmokin,20,14,59,1515,Ukraine,Vinnytsia Oblast,Vinnytsia,Professor,Vinnytsia National Technical University
17,grandmaster,xhlulu,https://www.kaggle.com/xhlulu,30,16,36,1499,Canada,Quebec,Montreal, 💻,🏛️
18,grandmaster,Bojan Tunguz,https://www.kaggle.com/tunguz,24,51,157,1483,United States,Indiana,Greencastle,Data Scientist,Nvidia
19,grandmaster,Mr_KnowNothing,https://www.kaggle.com/tanulsingh077,16,5,4,1427,United States,California,California City,Applied AI Research Engineer,LevelAI
20,grandmaster,Yaroslav Isaienkov,https://www.kaggle.com/ihelon,16,3,12,1419,Ukraine,Vinnytsia Oblast,Vinnytsia,Data Scientist,Onseo
21,grandmaster,Martin Kovacevic Buvinic,https://www.kaggle.com/ragnar123,19,19,8,1399,Chile,Santiago Metropolitan Region,Santiago,Data Scientist,UNKOWN
22,grandmaster,Prashant Banerjee,https://www.kaggle.com/prashant111,29,14,0,1358,India,Haryana,Gurugram,Freelance Data Scientist,UNKOWN
23,grandmaster,chumajin,https://www.kaggle.com/chumajin,18,4,4,1332,Japan,Tokyo,Tokyo,Engineer,Japanese Company
24,grandmaster,Vopani,https://www.kaggle.com/rohanrao,17,11,7,1241,India,Karnataka,Bengaluru,Data Scientist,H2O.ai
25,grandmaster,SRK,https://www.kaggle.com/sudalairajkumar,30,13,21,1240,India,Tamil Nadu,Chennai,Data Scientist,UNKOWN
26,grandmaster,Parul Pandey,https://www.kaggle.com/parulpandey,17,16,17,1229,India,Telangana,Hyderabad,Data Science ,H2O.ai
27,grandmaster,tito,https://www.kaggle.com/its7171,16,4,5,1229,Japan,Tokyo,Tokyo,Search Engineer,Universal Knowledge Inc.
28,master,Gunes Evitan,https://www.kaggle.com/gunesevitan,10,7,11,1193,Turkey,Ankara,Ankara,Data Scientist,Orientis/Algomedicus
29,grandmaster,Ruchi Bhatia,https://www.kaggle.com/ruchi798,18,2,1,1167,India,Maharashtra,Mumbai,Data Science Global Ambassador,HP & NVIDIA
30,grandmaster,Gabriel Preda,https://www.kaggle.com/gpreda,29,28,56,1161,Romania,Bucharest,Bucharest,Data Scientist,Endava
31,grandmaster,Heads or Tails,https://www.kaggle.com/headsortails,22,0,0,1161,United States,California,San Francisco,curious,heart
32,grandmaster,Shivam Bansal,https://www.kaggle.com/shivamb,26,12,28,1146,Singapore,UNKOWN,Singapore,Data Science,H2O.ai
33,grandmaster,Leonie,https://www.kaggle.com/iamleonie,16,6,4,1127,Germany,Hesse,Frankfurt,Technical Project Lead,Automotive Industry
34,master,Tensor Girl,https://www.kaggle.com/usharengaraju,10,0,0,1126,India,Karnataka,Bengaluru,Nobody,Nowhere
35,grandmaster,Alex Shonenkov,https://www.kaggle.com/shonenkov,18,4,6,1125,Russia,Krasnodar Krai,Adler,Researcher,SberAI
36,master,Hidehisa Arai,https://www.kaggle.com/hidehisaarai1213,13,5,8,1122,Japan,Tokyo,Tokyo,ML Engineer,Recruit Co. Ltd
37,master,Ammar Alhaj Ali,https://www.kaggle.com/ammarnassanalhajali,12,6,21,1117,Kuwait,Hawalli Governorate,Hawally,Phd Student,Tomas bata university in zlín
38,grandmaster,AndresHG,https://www.kaggle.com/andreshg,16,6,1,1106,Spain,Community of Madrid,Madrid,Z by HP Global Ambassador and Senior Data Scientist,CoverWallet
39,master,ColinMorris,https://www.kaggle.com/colinmorris,10,7,9,1104,Canada,Ontario,Toronto,Data Scientist,Kaggle
40,grandmaster,Rachael Tatman,https://www.kaggle.com/rtatman,32,28,61,1068,United States,Washington,Seattle,Data Scientist,Kaggle
41,master,Sanskar Hasija,https://www.kaggle.com/odins0n,12,9,3,1059,India,Maharashtra,Pune,Student,IIIT PUNE
42,grandmaster,Aleksey Bilogur,https://www.kaggle.com/residentmario,16,15,41,1056,United States,New York,New York,Person,spell.ml
43,grandmaster,Kostiantyn Isaienkov,https://www.kaggle.com/isaienkov,19,10,22,1030,Ukraine,Kharkiv Oblast,Kharkiv,Data Science Engineer,Quantum
