rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,67,16,3,4918,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,64,25,23,3454,Norway,Rogaland,Stavanger,AutoTrain,Hugging Face
3,master,Marília Prata,https://www.kaggle.com/mpwolke,12,30,389,3308,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Self employed
4,grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,32,10,5,2493,Japan,Tokyo,Tokyo,Data Scientist,XXX
5,grandmaster,Awsaf,https://www.kaggle.com/awsaf49,27,6,12,2436,Bangladesh,Dhaka Division,Dhaka,EEE Undergrad,BUET
6,grandmaster,DanB,https://www.kaggle.com/dansbecker,43,11,27,2193,United States,Colorado,Golden,Founder,decision.ai
7,grandmaster,AmbrosM,https://www.kaggle.com/ambrosm,23,7,7,2141,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
8,grandmaster,Andrada Olteanu,https://www.kaggle.com/andradaolteanu,34,4,5,2119,Romania,Bucharest,Bucharest,Data Scientist,Endava
9,grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,29,20,58,1917,United States,District of Columbia,Washington,Tom,o
10,grandmaster,Sanskar Hasija,https://www.kaggle.com/odins0n,23,14,3,1828,India,Maharashtra,Pune,Student,IIIT PUNE
11,grandmaster,dataista0 (Julián Peller),https://www.kaggle.com/julian3833,20,13,20,1777,Argentina,Buenos Aires,Buenos Aires,Data scientist,Toptal
12,grandmaster,DATAI,https://www.kaggle.com/kanncaa1,20,7,6,1678,Turkey,Istanbul,Istanbul,EE,   
13,grandmaster,Remek Kinas,https://www.kaggle.com/remekkinas,18,17,4,1655,Poland,Masovian Voivodeship,Warsaw,AI independent consultant (Computer Vision),ai5 (own business)
